choice,round,truth,decider,exact,choice_value,spread,valence,consequential,consequence,,,,choice,round,truth,decider,exact,choice_value,spread,valence,consequential,consequence,,,,,,choice,round,truth,exact,spread,valence,consequential,consequence,,,,choice,round,truth,exact,spread,valence,consequential,consequence
round,100,88,1,94,88,-6,-1,1,-6,*,,,round,100,88,1,94,88,-6,-1,1,-6,,18 trials,,,,round,100,88,94,-6,-1,1,-6,,,or,exact,100,88,94,-6,-1,0,0
round,100,88,1,82,88,6,1,0,0,**,,,round,100,88,1,99,88,-11,-1,1,-11,,"6 good, 6 bad, 6 no cons",,,,round,100,88,99,-11,-1,1,-11,,,or,exact,100,88,99,-11,-1,0,0
round,100,88,1,99,88,-11,-1,1,-11,*,,,round,100,88,1,91,88,-3,-1,1,-3,,chooser always chooses round,,,,round,100,88,91,-3,-1,1,-3,,,or,exact,100,88,91,-3,-1,0,0
round,100,88,1,77,88,11,1,0,0,,,,round,100,88,-1,94,88,6,1,1,6,,,,,,round,1000,958,995,-37,-1,1,-37,,,or,exact,1000,958,995,-37,-1,0,0
round,100,88,1,91,88,-3,-1,1,-3,*,,,round,100,88,-1,99,88,11,1,1,11,,,,,,round,1000,958,979,-21,-1,1,-21,,,or,exact,1000,958,979,-21,-1,0,0
round,100,88,1,85,88,3,1,0,0,**,,,round,100,88,-1,91,88,3,1,1,3,,,,,,round,1000,958,973,-15,-1,1,-15,,,or,exact,1000,958,973,-15,-1,0,0
round,100,88,-1,94,88,6,1,1,6,*,,,round,1000,958,1,995,958,-37,-1,1,-37,,,,,,,,,,,,,,,,,,,,,,,,
round,100,88,-1,82,88,-6,-1,0,0,,,,round,1000,958,1,979,958,-21,-1,1,-21,,,,,,round,100,88,82,6,1,0,0,,,,,,,,,,,
round,100,88,-1,99,88,11,1,1,11,*,,,round,1000,958,1,973,958,-15,-1,1,-15,,,,,,round,100,88,85,3,1,0,0,,,,,,,,,,,
round,100,88,-1,77,88,-11,-1,0,0,**,,,round,1000,958,-1,995,958,37,1,1,37,,,,,,round,1000,958,937,21,1,0,0,,,,,,,,,,,
round,100,88,-1,91,88,3,1,1,3,*,,,round,1000,958,-1,979,958,21,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,
round,100,88,-1,85,88,-3,-1,0,0,,,,round,1000,958,-1,973,958,15,1,1,15,,,,,,,,,,,,,,,,,,,,,,,,
exact,100,88,1,94,94,-6,-1,0,0,,,,round,100,88,1,82,88,6,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
exact,100,88,1,82,82,6,1,0,0,,,,round,100,88,1,85,88,3,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
exact,100,88,1,99,99,-11,-1,0,0,,,,round,100,88,-1,77,88,-11,-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
exact,100,88,1,77,77,11,1,0,0,,,,round,1000,958,1,937,958,21,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
exact,100,88,1,91,91,-3,-1,0,0,,,,round,1000,958,-1,921,958,-37,-1,0,0,,,,,,list 1,,,,,,,,,,list 2,,,,,,,,
exact,100,88,1,85,85,3,1,0,0,,,,round,1000,958,-1,943,958,-15,-1,0,0,,,,,,choice,round,truth,exact,spread,valence,consequential,consequence,,,,choice,round,truth,exact,spread,valence,consequential,consequence
