"rt","stimulus","response","type_of_trial","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","prolific_id","view_history","question_order","exact","round","truth","choice","spread","valence","consequence","truth_bn","truth_lk","choose_dif","age","gender","race_ethnicity","income","education","ses","party","politics","religiosity","understand","confusing","annoying","issues","other_feedback","result","success"
"1974","
    <p style=""text-align:left;"">
        You are being asked to participate in a research study titled 
        ""Truth in Games."" You were selected to participate in 
        this project because you are an adult over age 18. This study is sponsored by 
        Boston College and the John Templeton Foundation.
    </p>
    <p style=""text-align: left;"">
        The purpose of this study is to understand how we weigh information what other people say. 
        This study will be conducted through this online survey. The survey 
        should take you XX minutes to complete. There are no direct 
        benefits to you, but you may feel gratified knowing that you helped further 
        the scholarly work in this research area, and you will be compensated $X.XX for your 
        participation. There are no costs to you associated with your participation.
    </p>
    <p style=""text-align: left;"">
        The researchers do not believe participation would entail any risks or 
        discomforts beyond those ordinarily encountered in everyday life.
    </p>
    <p style=""text-align: left;"">
        This Principal Investigator, Dr. Liane Young, will exert all reasonable efforts 
        to keep your responses and your identity confidential. We will not maintain 
        within our research data any information that uniquely identifies you, such as 
        your name, location, or Internet Protocol (IP) address. In any report we 
        publish, we will not include any information that will make it possible to 
        identify a participant. Data that includes user-ID information will be collected 
        and stored via third-party servers like Qualtrics or Pavlovia. Data collected 
        from the experiment will be coded to remove your name or any other 
        personal identifiers. All records will be secured in a locked cabinet in our lab. 
        The Institutional Review Board at Boston College and internal Boston College 
        auditors may review the research records. State or federal laws or court 
        orders may also require that information from research study records be 
        released. Otherwise, the researchers will not release to others any 
        information that could indicate your identity unless you give your permission, 
        or unless the researchers become legally required to do so.
    </p>
    <p style=""text-align: left;"">
        Although the survey will not prompt you directly to identify yourself by 
        name, email address or the like, the survey will include several demographic 
        items that would prompt you to provide certain demographic information, 
        such as your age, gender, ethnicity, education level and the like. In 
        combination, responses to such questions could suggest your identity. 
        Regardless, please know that the researchers will make no purposeful effort 
        to discern your identity based on such information. Additionally, please note 
        that you may opt to leave any such questions blank.
    </p>
    <p style=""text-align: left;"">
        Your participation is voluntary. If you choose not to participate it will not 
        affect your relations with Boston College. Some questions on the survey, 
        such as comprehension questions, may be required in order to complete the 
        survey and receive compensation. However, you may still choose to end 
        your participation in the study at any time. If you have questions or concerns 
        concerning this research you may contact the Principal Investigator at 
        <a href=""tel:16175520240"">+1 (617) 552-0240</a>
        or <a href=""mailto:liane.young@bc.edu"">liane.young@bc.edu</a>. If you have 
        questions about your rights as a research participant, you may contact the
        Office for Research Protections, Boston College, at 
        <a href=""tel:16175524778"">+1 (617) 552-4778</a> or
        <a href=""mailto:irb@bc.edu"">irb@bc.edu</a>.
    </p>
    <p style=""text-align: left;"">
        If you agree to the statements above and agree to participate in this study,
        please select the ""Consent given"" button below to continue.
    </p>
","1","consent","html-button-response","0","1976","0.0-0.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1802","","{""prolific_id"":""a""}","prolific","survey-text","1","3779","0.0-1.0-0.0","l1aku5fx25","a","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3001","","","instructions","instructions","2","6780","0.0-1.0-1.0","l1aku5fx25","","[{""page_index"":0,""viewing_time"":746},{""page_index"":1,""viewing_time"":142},{""page_index"":2,""viewing_time"":627},{""page_index"":3,""viewing_time"":143},{""page_index"":4,""viewing_time"":134},{""page_index"":5,""viewing_time"":582},{""page_index"":6,""viewing_time"":626}]","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4613","","{""Q0"":""One exact amount of money and one approximate amount of money."",""Q1"":""Yes"",""Q2"":""For each round, a different random participant provided an approximate value of the exact amount."",""Q3"":""The amount the previous player gained based on their choice.""}","comprehension","survey-multi-choice","3","11395","0.0-1.0-2.0","l1aku5fx25","","","[0,1,2,3]","","","","","","","","","","","","","","","","","","","","","","","","","",""
"710","You answered all comprehension questions correctly. Please click the button below to begin moving through the rounds.<br><br>","0","move_to_experiment","html-button-response","4","12110","0.0-2.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"741","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment"">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 77 coins
            </div>
            <div id=""payment-2"" class=""payment"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","claims","html-keyboard-response","5","12853","0.0-3.0-0.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"148","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 77 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
            </div>
        </div>
    "," ","choice","html-keyboard-response","6","13001","0.0-3.0-1.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"141","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 77 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
    "," ","payouts","html-keyboard-response","7","13144","0.0-3.0-2.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"140","
        <div id=""payments-wrapper"" class=""wrapper"">
            <div id=""payment-1"" class=""payment "">
                <u>Option 1</u>
                <br>
                EXACT VALUE: 77 coins
            </div>
            <div id=""payment-2"" class=""payment chosen"">
                <u>Option 2</u>
                <br>
                <i class=""fa-solid fa-comment-dots""></i> APPROXIMATE VALUE: 100 coins
                <br>
                <br>
                EXACT VALUE: 88 coins
            </div>
        </div>
        <div id=""outcome-wrapper"" class=""wrapper"">
            The chosen option made you <span style=""background-color: lightgreen""> 11 more coins</span> than the other option would have made you.
            <br>
            <br>
            Your score: 0 coins <span style=""font-weight: bold""> &rarr; </span> 88 coins
        </div>
    "," ","report","html-keyboard-response","8","13285","0.0-3.0-3.0","l1aku5fx25","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4261","","{""Q0"":""True"",""Q1"":""Completely false"",""Q2"":""No""}","measures","survey-multi-choice","9","17548","0.0-3.0-4.0","l1aku5fx25","","","[0,1,2]","77","100","88","round","11","1","0","1","0","0","","","","","","","","","","","","","","","",""
